file_nm,element_id,amount,unit_ref,decimals,contextref
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,29.6,,1,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,19.1,,1,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,12.6,,1,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,7.9,,1,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:priceearningsratiosummaryofbusinessresults,8.8,,1,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,17395000000,,-6,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,56105000000,,-6,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,38335000000,,-6,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,143668000000,,-6,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,82879000000,,-6,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-27977000000,,-6,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-17644000000,,-6,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-14051000000,,-6,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-34654000000,,-6,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-30938000000,,-6,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-28592000000,,-6,Prior4YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,14305000000,,-6,Prior3YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,9199000000,,-6,Prior2YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-65375000000,,-6,Prior1YearDuration
aaaa.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-26124000000,,-6,CurrentYearDuration
aaaa.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,183440000000,,-6,Prior4YearInstant
aaaa.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,242482000000,,-6,Prior3YearInstant
aaaa.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,274167000000,,-6,Prior2YearInstant
aaaa.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,315803000000,,-6,Prior1YearInstant
aaaa.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,341158000000,,-6,CurrentYearInstant
aaaa.xbrl,jpcrp_cor:numberofemployees,15518,,0,Prior4YearInstant
aaaa.xbrl,jpcrp_cor:numberofemployees,15587,,0,Prior3YearInstant
aaaa.xbrl,jpcrp_cor:numberofemployees,15640,,0,Prior2YearInstant
aaaa.xbrl,jpcrp_cor:numberofemployees,15925,,0,Prior1YearInstant
aaaa.xbrl,jpcrp_cor:numberofemployees,16024,,0,CurrentYearInstant
aaaa.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,3775,,0,Prior4YearInstant
aaaa.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,3512,,0,Prior3YearInstant
aaaa.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,3315,,0,Prior2YearInstant
aaaa.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,2992,,0,Prior1YearInstant
aaaa.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,2708,,0,CurrentYearInstant
aaaa.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,1253060000000,,-6,Prior4YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,1340766000000,,-6,Prior3YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,1406833000000,,-6,Prior2YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,1291550000000,,-6,Prior1YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,1262554000000,,-6,CurrentYearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,16126000000,,-6,Prior4YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,42583000000,,-6,Prior3YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,81177000000,,-6,Prior2YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,114878000000,,-6,Prior1YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,113116000000,,-6,CurrentYearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,6713000000,,-6,Prior4YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,23554000000,,-6,Prior3YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,52077000000,,-6,Prior2YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,86020000000,,-6,Prior1YearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netincomelosssummaryofbusinessresults,83004000000,,-6,CurrentYearDuration_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,74365000000,,-6,Prior4YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,74365000000,,-6,Prior3YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,74365000000,,-6,Prior2YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,74365000000,,-6,Prior1YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:capitalstocksummaryofbusinessresults,74365000000,,-6,CurrentYearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,788514613,,0,Prior4YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,788514613,,0,Prior3YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,788514613,,0,Prior2YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,788514613,,0,Prior1YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:totalnumberofissuedsharessummaryofbusinessresults,788514613,,0,CurrentYearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,312367000000,,-6,Prior4YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,399901000000,,-6,Prior3YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,407959000000,,-6,Prior2YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,481879000000,,-6,Prior1YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netassetssummaryofbusinessresults,556455000000,,-6,CurrentYearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,1287900000000,,-6,Prior4YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,1445421000000,,-6,Prior3YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,1453426000000,,-6,Prior2YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,1434690000000,,-6,Prior1YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:totalassetssummaryofbusinessresults,1541381000000,,-6,CurrentYearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,397.42,,2,Prior4YearInstant_NonConsolidatedMember
aaaa.xbrl,jpcrp_cor:netassetspersharesummaryofbusinessresults,508.81,,2,Prior3YearInstant_NonConsolidatedMember
